@_id,OrphaCode,Name/#text,DisorderType/Name/#text,DisorderGroup/Name/#text,DisorderGeneAssociationList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/Symbol,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/GeneType/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/0/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/0/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/1/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/1/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/2/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/3/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/2/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/3/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/4/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/5/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/4/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/5/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/LocusList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/LocusList/Locus/GeneLocus,DisorderGeneAssociationList/DisorderGeneAssociation/DisorderGeneAssociationType/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/DisorderGeneAssociationStatus/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/0/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/1/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/2/#text
29,578,Mucolipidosis type IV,Disease,Disorder,1,mucolipin 1,MCOLN1,6.0,gene with protein product,7.0,Ensembl,ENSG00000090674,Genatlas,MCOLN1,HGNC,IUPHAR,13356,501,605248,Q9GZU1,OMIM,Reactome,1.0,19p13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,ML4,MLIV,MST080
17629,166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Disorder,1,gap junction protein beta 2,GJB2,3.0,gene with protein product,6.0,Ensembl,ENSG00000165474,Genatlas,GJB2,HGNC,OMIM,4284,121011,P29033,P29033,Reactome,SwissProt,1.0,13q12.11,Disease-causing somatic mutation(s) in,Assessed,CX26,NSRD1,connexin 26
42,461,Recessive X-linked ichthyosis,Disease,Disorder,1,steroid sulfatase,STS,3.0,gene with protein product,6.0,Ensembl,ENSG00000101846,Genatlas,STS,HGNC,OMIM,11425,300747,P08842,P08842,Reactome,SwissProt,1.0,Xp22.31,Disease-causing germline mutation(s) in,Assessed,ARSC,arylsulfatase C,steryl-sulfatase
45,95,Friedreich ataxia,Disease,Disorder,1,frataxin,FXN,4.0,gene with protein product,6.0,Genatlas,FXN,HGNC,3951,OMIM,Reactome,606829,Q16595,Q16595,ENSG00000165060,SwissProt,Ensembl,1.0,9q21.11,Disease-causing germline mutation(s) (loss of function) in,Assessed,CyaY,FA,FARR
65,597,Central core disease,Disease,Disorder,1,ryanodine receptor 1,RYR1,3.0,gene with protein product,7.0,Ensembl,ENSG00000196218,Genatlas,RYR1,HGNC,IUPHAR,10483,747,180901,P21817,OMIM,Reactome,1.0,19q13.2,Disease-causing germline mutation(s) in,Assessed,PPP1R137,RYR,"protein phosphatase 1, regulatory subunit 137"
17538,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Disease,Disorder,1,SRY-box 10,SOX10,4.0,gene with protein product,6.0,Ensembl,ENSG00000100146,Genatlas,SOX10,HGNC,OMIM,11190,602229,P56693,P56693,SwissProt,Reactome,1.0,22q13.1,Disease-causing germline mutation(s) in,Assessed,DOM,WS2E,WS4
76,684,Paramyotonia congenita of Von Eulenburg,Disease,Disorder,1,sodium voltage-gated channel alpha subunit 4,SCN4A,3.0,gene with protein product,7.0,Genatlas,SCN4A,HGNC,10591,IUPHAR,OMIM,581,603967,P35499,P35499,Reactome,SwissProt,1.0,17q23.3,Disease-causing germline mutation(s) in,Assessed,HYPP,Nav1.4,SkM1
77,273,Steinert myotonic dystrophy,Disease,Disorder,1,DM1 protein kinase,DMPK,10.0,gene with protein product,7.0,Ensembl,ENSG00000104936,Genatlas,DMPK,HGNC,IUPHAR,2933,1505,605377,Q09013,OMIM,Reactome,1.0,19q13.32,Disease-causing germline mutation(s) in,Assessed,DM protein kinase,DM1PK,DMK
17551,163937,"X-linked intellectual disability, Najm type",Disease,Disorder,1,calcium/calmodulin dependent serine protein kinase,CASK,3.0,gene with protein product,7.0,Ensembl,ENSG00000147044,Genatlas,CASK,HGNC,IUPHAR,1497,1959,300172,O14936,OMIM,Reactome,1.0,Xp11.4,Disease-causing germline mutation(s) in,Assessed,CAGH39,FGS4,LIN2
75,614,Thomsen and Becker disease,Disease,Disorder,1,chloride voltage-gated channel 1,CLCN1,3.0,gene with protein product,6.0,Ensembl,ENSG00000188037,Genatlas,CLCN1,HGNC,OMIM,2019,118425,P35523,P35523,Reactome,SwissProt,1.0,7q34,Disease-causing germline mutation(s) (loss of function) in,Assessed,CLC1,ClC-1,"Thomsen disease, autosomal dominant"
17556,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease,Disorder,1,histone deacetylase 6,HDAC6,6.0,gene with protein product,7.0,Ensembl,ENSG00000094631,Genatlas,HDAC6,HGNC,IUPHAR,14064,2618,300272,Q9UBN7,OMIM,Reactome,1.0,Xp11.23,Disease-causing germline mutation(s) in,Assessed,FLJ16239,HD6,JM21
17554,163956,"X-linked intellectual disability, Nascimento type",Disease,Disorder,1,ubiquitin conjugating enzyme E2 A,UBE2A,3.0,gene with protein product,6.0,Ensembl,ENSG00000077721,Genatlas,UBE2A,HGNC,OMIM,12472,312180,P49459,P49459,Reactome,SwissProt,1.0,Xq24,Disease-causing germline mutation(s) in,Assessed,HHR6A,RAD6A,UBC2
17561,163985,Hyperekplexia-epilepsy syndrome,Disease,Disorder,1,Cdc42 guanine nucleotide exchange factor 9,ARHGEF9,3.0,gene with protein product,6.0,Ensembl,ENSG00000131089,Genatlas,ARHGEF9,HGNC,OMIM,14561,300429,O43307,O43307,Reactome,SwissProt,1.0,Xq11.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,KIAA0424,PEM-2,collybistin
104,100,Ataxia-telangiectasia,Disease,Disorder,1,ATM serine/threonine kinase,ATM,3.0,gene with protein product,7.0,SwissProt,Q13315,Ensembl,ENSG00000149311,Genatlas,HGNC,ATM,795,1934,607585,IUPHAR,OMIM,1.0,11q22.3,Disease-causing germline mutation(s) in,Assessed,TEL1,"TEL1, telomere maintenance 1, homolog (S. cerevisiae)",TELO1
142,47,X-linked agammaglobulinemia,Clinical subtype,Subtype of disorder,1,Bruton tyrosine kinase,BTK,4.0,gene with protein product,7.0,Ensembl,ENSG00000010671,Genatlas,BTK,HGNC,IUPHAR,1133,1948,300300,Q06187,OMIM,Reactome,1.0,Xq22.1,Disease-causing germline mutation(s) in,Assessed,ATK,Bruton's tyrosine kinase,PSCTK1
134,905,Wilson disease,Disease,Disorder,1,ATPase copper transporting beta,ATP7B,3.0,gene with protein product,6.0,Ensembl,ENSG00000123191,Genatlas,ATP7B,HGNC,OMIM,870,606882,P35670,P35670,Reactome,SwissProt,1.0,13q14.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,Wilson disease,copper pump 2,copper-transporting ATPase 2
148,15,Achondroplasia,Disease,Disorder,1,fibroblast growth factor receptor 3,FGFR3,3.0,gene with protein product,7.0,Ensembl,ENSG00000068078,Genatlas,FGFR3,HGNC,IUPHAR,3690,1810,134934,P22607,OMIM,Reactome,1.0,4p16.3,Disease-causing germline mutation(s) (gain of function) in,Assessed,CD333,CEK2,JTK4
169,481,Kennedy disease,Disease,Disorder,1,androgen receptor,AR,6.0,gene with protein product,7.0,Ensembl,ENSG00000169083,Genatlas,AR,HGNC,IUPHAR,644,628,313700,P10275,OMIM,Reactome,1.0,Xq12,Disease-causing germline mutation(s) in,Assessed,AIS,HUMARA,Kennedy disease
161,429,Hypochondroplasia,Disease,Disorder,1,fibroblast growth factor receptor 3,FGFR3,3.0,gene with protein product,7.0,Ensembl,ENSG00000068078,Genatlas,FGFR3,HGNC,IUPHAR,3690,1810,134934,P22607,OMIM,Reactome,1.0,4p16.3,Disease-causing germline mutation(s) (gain of function) in,Assessed,CD333,CEK2,JTK4
17533,163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,Disease,Disorder,1,TBC1 domain family member 24,TBC1D24,5.0,gene with protein product,6.0,Reactome,Q9ULP9,Ensembl,ENSG00000162065,Genatlas,HGNC,TBC1D24,29203,613577,Q9ULP9,OMIM,SwissProt,1.0,16p13.3,Disease-causing germline mutation(s) in,Assessed,DFNA65,KIAA1171,TBC/LysM-associated domain containing 6
182,644,NARP syndrome,Disease,Disorder,1,mitochondrially encoded ATP synthase membrane subunit 6,MT-ATP6,4.0,gene with protein product,6.0,Ensembl,ENSG00000198899,Genatlas,MT-ATP6,HGNC,OMIM,7414,516060,P00846,P00846,Reactome,SwissProt,1.0,mitochondria,Disease-causing germline mutation(s) in,Assessed,ATP6,ATPase-6,Su6m
183,637,Neurofibromatosis type 2,Disease,Disorder,1,neurofibromin 2,NF2,6.0,gene with protein product,6.0,Ensembl,ENSG00000186575,Genatlas,NF2,HGNC,OMIM,7773,607379,P35240,P35240,Reactome,SwissProt,1.0,22q12.2,Disease-causing germline mutation(s) in,Assessed,ACN,BANF,Merlin
17526,163696,Action myoclonus-renal failure syndrome,Disease,Disorder,1,scavenger receptor class B member 2,SCARB2,6.0,gene with protein product,6.0,Reactome,Q14108,Ensembl,ENSG00000138760,Genatlas,HGNC,SCARB2,1665,602257,Q14108,OMIM,SwissProt,1.0,4q21.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,HLGP85,LIMP-2,LIMPII
205,337,Fibrodysplasia ossificans progressiva,Disease,Disorder,1,activin A receptor type 1,ACVR1,3.0,gene with protein product,6.0,Ensembl,ENSG00000115170,Genatlas,ACVR1,HGNC,IUPHAR,171,1785,102576,Q04771,OMIM,SwissProt,1.0,2q24.1,Disease-causing germline mutation(s) (gain of function) in,Assessed,ACVR1A,ALK2,SKR1
194,60,Alpha-1-antitrypsin deficiency,Disease,Disorder,1,serpin family A member 1,SERPINA1,7.0,gene with protein product,6.0,Ensembl,ENSG00000197249,Genatlas,SERPINA1,HGNC,OMIM,8941,107400,P01009,P01009,Reactome,SwissProt,1.0,14q32.13,Disease-causing germline mutation(s) in,Assessed,A1A,A1AT,AAT
212,682,Hyperkalemic periodic paralysis,Disease,Disorder,1,sodium voltage-gated channel alpha subunit 4,SCN4A,3.0,gene with protein product,7.0,Genatlas,SCN4A,HGNC,10591,IUPHAR,OMIM,581,603967,P35499,P35499,Reactome,SwissProt,1.0,17q23.3,Disease-causing germline mutation(s) (gain of function) in,Assessed,HYPP,Nav1.4,SkM1
215,800,Schwartz-Jampel syndrome,Disease,Disorder,1,heparan sulfate proteoglycan 2,HSPG2,3.0,gene with protein product,6.0,Ensembl,ENSG00000142798,Genatlas,HSPG2,HGNC,OMIM,5273,142461,P98160,P98160,Reactome,SwissProt,1.0,1p36.12,Disease-causing germline mutation(s) (loss of function) in,Assessed,PRCAN,perlecan,perlecan proteoglycan
233,2869,Peutz-Jeghers syndrome,Disease,Disorder,1,serine/threonine kinase 11,STK11,3.0,gene with protein product,7.0,Ensembl,ENSG00000118046,Genatlas,STK11,HGNC,IUPHAR,11389,2212,602216,Q15831,OMIM,Reactome,1.0,19p13.3,Disease-causing germline mutation(s) in,Assessed,LKB1,PJS,polarization-related protein LKB1
255,53,Albers-Sch�nberg osteopetrosis,Malformation syndrome,Disorder,1,chloride voltage-gated channel 7,CLCN7,5.0,gene with protein product,6.0,OMIM,602727,Reactome,P51798,SwissProt,Ensembl,P51798,ENSG00000103249,CLCN7,2025,Genatlas,HGNC,1.0,16p13.3,Disease-causing germline mutation(s) in,Assessed,CLC-7,CLC7,OPTA2
240,192,Coffin-Lowry syndrome,Malformation syndrome,Disorder,1,ribosomal protein S6 kinase A3,RPS6KA3,3.0,gene with protein product,7.0,HGNC,10432,IUPHAR,1528,OMIM,Reactome,300075,P51812,P51812,ENSG00000177189,SwissProt,Ensembl,1.0,Xp22.12,Disease-causing germline mutation(s) in,Assessed,HU-3,RSK,RSK2
17874,169808,Mild hemophilia A,Clinical subtype,Subtype of disorder,1,coagulation factor VIII,F8,5.0,gene with protein product,7.0,Ensembl,ENSG00000185010,Genatlas,F8,HGNC,IUPHAR,3546,2607,300841,P00451,OMIM,Reactome,1.0,Xq28,Disease-causing germline mutation(s) in,Assessed,DXS1253E,FVIII,Factor VIIIF8B
17872,169802,Severe hemophilia A,Clinical subtype,Subtype of disorder,1,coagulation factor VIII,F8,5.0,gene with protein product,7.0,Ensembl,ENSG00000185010,Genatlas,F8,HGNC,IUPHAR,3546,2607,300841,P00451,OMIM,Reactome,1.0,Xq28,Disease-causing germline mutation(s) in,Assessed,DXS1253E,FVIII,Factor VIIIF8B
17873,169805,Moderately severe hemophilia A,Clinical subtype,Subtype of disorder,1,coagulation factor VIII,F8,5.0,gene with protein product,7.0,Ensembl,ENSG00000185010,Genatlas,F8,HGNC,IUPHAR,3546,2607,300841,P00451,OMIM,Reactome,1.0,Xq28,Disease-causing germline mutation(s) in,Assessed,DXS1253E,FVIII,Factor VIIIF8B
279,562,McCune-Albright syndrome,Disease,Disorder,1,GNAS complex locus,GNAS,8.0,gene with protein product,10.0,Reactome,Q5JWF2,SwissProt,P63092,SwissProt,SwissProt,P84996,Q5JWF2,ENSG00000087460,GNAS,Ensembl,Genatlas,1.0,20q13.32,Disease-causing somatic mutation(s) in,Assessed,G protein subunit alpha S,GNASXL,GPSA
17863,169464,Primary CD59 deficiency,Disease,Disorder,1,CD59 molecule (CD59 blood group),CD59,6.0,gene with protein product,6.0,HGNC,1689,OMIM,107271,Reactome,SwissProt,P13987,P13987,ENSG00000085063,CD59,Ensembl,Genatlas,1.0,11p13,Disease-causing germline mutation(s) in,Assessed,16.3A5,EJ16,EJ30
261,87,Apert syndrome,Malformation syndrome,Disorder,1,fibroblast growth factor receptor 2,FGFR2,8.0,gene with protein product,7.0,Ensembl,ENSG00000066468,Genatlas,FGFR2,HGNC,IUPHAR,3689,1809,176943,P21802,OMIM,Reactome,1.0,10q26.13,Disease-causing germline mutation(s) (gain of function) in,Assessed,CD332,CEK3,Crouzon syndrome
264,97,Familial paroxysmal ataxia,Disease,Disorder,1,calcium voltage-gated channel subunit alpha1 A,CACNA1A,5.0,gene with protein product,7.0,Ensembl,ENSG00000141837,Genatlas,CACNA1A,HGNC,IUPHAR,1388,532,601011,O00555,OMIM,Reactome,1.0,19p13.13,Disease-causing germline mutation(s) (loss of function) in,Assessed,APCA,Cav2.1,EA2
17871,169799,Mild hemophilia B,Clinical subtype,Subtype of disorder,1,coagulation factor IX,F9,5.0,gene with protein product,7.0,Ensembl,ENSG00000101981,Genatlas,F9,HGNC,IUPHAR,3551,2364,300746,P00740,OMIM,Reactome,1.0,Xq27.1,Disease-causing germline mutation(s) in,Assessed,Christmas disease,FIX,Factor IX
17870,169796,Moderately severe hemophilia B,Clinical subtype,Subtype of disorder,1,coagulation factor IX,F9,5.0,gene with protein product,7.0,Ensembl,ENSG00000101981,Genatlas,F9,HGNC,IUPHAR,3551,2364,300746,P00740,OMIM,Reactome,1.0,Xq27.1,Disease-causing germline mutation(s) in,Assessed,Christmas disease,FIX,Factor IX
17869,169793,Severe hemophilia B,Clinical subtype,Subtype of disorder,1,coagulation factor IX,F9,5.0,gene with protein product,7.0,Ensembl,ENSG00000101981,Genatlas,F9,HGNC,IUPHAR,3551,2364,300746,P00740,OMIM,Reactome,1.0,Xq27.1,Disease-causing germline mutation(s) in,Assessed,Christmas disease,FIX,Factor IX
17911,171445,Muscle filaminopathy,Disease,Disorder,1,filamin C,FLNC,4.0,gene with protein product,6.0,Ensembl,ENSG00000128591,Genatlas,FLNC,HGNC,OMIM,3756,102565,Q14315,Q14315,Reactome,SwissProt,1.0,7q32.1,Disease-causing germline mutation(s) in,Assessed,ABP-280,ABPL,actin binding protein 280
17916,171629,Autosomal recessive spastic paraplegia type 35,Disease,Disorder,1,fatty acid 2-hydroxylase,FA2H,3.0,gene with protein product,6.0,Ensembl,ENSG00000103089,Genatlas,FA2H,HGNC,OMIM,21197,611026,Q7L5A8,Q7L5A8,Reactome,SwissProt,1.0,16q23.1,Disease-causing germline mutation(s) in,Assessed,FAAH,FLJ25287,fatty acid hydroxylase
17903,171215,Low isolated anorectal malformation,Morphological anomaly,Disorder,1,myosin heavy chain 14,MYH14,4.0,gene with protein product,6.0,Ensembl,ENSG00000105357,Genatlas,MYH14,HGNC,OMIM,23212,608568,Q7Z406,Q7Z406,Reactome,SwissProt,1.0,19q13.33,Disease-causing germline mutation(s) in,Assessed,FLJ13881,KIAA2034,MHC16
17815,169079,Cernunnos-XLF deficiency,Disease,Disorder,1,non-homologous end joining factor 1,NHEJ1,4.0,gene with protein product,6.0,Ensembl,ENSG00000187736,Genatlas,NHEJ1,HGNC,OMIM,25737,611290,Q9H9Q4,Q9H9Q4,Reactome,SwissProt,1.0,2q35,Disease-causing germline mutation(s) in,Assessed,Cernunnos,FLJ12610,XLF
17798,168829,Primary peritoneal carcinoma,Disease,Disorder,1,BRCA1 DNA repair associated,BRCA1,7.0,gene with protein product,6.0,Ensembl,ENSG00000012048,Genatlas,BRCA1,HGNC,OMIM,1100,113705,P38398,P38398,Reactome,SwissProt,1.0,17q21.31,Major susceptibility factor in,Assessed,"BRCA1/BRCA2-containing complex, subunit 1",BRCC1,FANCS
323,218,Darier disease,Disease,Disorder,1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,ATP2A2,3.0,gene with protein product,6.0,Ensembl,ENSG00000174437,Genatlas,ATP2A2,HGNC,OMIM,812,108740,P16615,P16615,Reactome,SwissProt,1.0,12q24.11,Disease-causing germline mutation(s) in,Assessed,SERCA2,calcium pump 2,sarcoplasmic/endoplasmic reticulum calcium ATPase 2
17793,168796,"Heart-hand syndrome, Slovenian type",Malformation syndrome,Disorder,1,lamin A/C,LMNA,3.0,gene with protein product,6.0,Ensembl,ENSG00000160789,Genatlas,LMNA,HGNC,OMIM,6636,150330,P02545,P02545,Reactome,SwissProt,1.0,1q22,Disease-causing germline mutation(s) in,Assessed,HGPS,MADA,mandibuloacral dysplasia type A
17804,168953,Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement,Disease,Disorder,1,fibroblast growth factor receptor 1,FGFR1,10.0,gene with protein product,7.0,Ensembl,ENSG00000077782,Genatlas,FGFR1,HGNC,IUPHAR,3688,1808,136350,P11362,OMIM,Reactome,1.0,8p11.23,Part of a fusion gene in,Assessed,BFGFR,CD331,CEK
17803,168950,Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement,Disease,Disorder,1,platelet derived growth factor receptor beta,PDGFRB,3.0,gene with protein product,7.0,Ensembl,ENSG00000113721,Genatlas,PDGFRB,HGNC,IUPHAR,8804,1804,173410,P09619,OMIM,Reactome,1.0,5q32,Part of a fusion gene in,Assessed,CD140b,JTK12,PDGFR1
17802,168947,Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement,Disease,Disorder,1,platelet derived growth factor receptor alpha,PDGFRA,3.0,gene with protein product,7.0,Ensembl,ENSG00000134853,Genatlas,PDGFRA,HGNC,IUPHAR,8803,1803,173490,P16234,OMIM,Reactome,1.0,4q12,Part of a fusion gene in,Assessed,CD140a,GAS9,PDGFR2
17830,169157,T-B+ severe combined immunodeficiency due to CD45 deficiency,Disease,Disorder,1,protein tyrosine phosphatase receptor type C,PTPRC,3.0,gene with protein product,6.0,Ensembl,ENSG00000081237,Genatlas,PTPRC,HGNC,OMIM,9666,151460,P08575,P08575,Reactome,SwissProt,1.0,1q31.3-q32.1,Disease-causing germline mutation(s) in,Assessed,GP180,LCA,T200
360,464,Incontinentia pigmenti,Malformation syndrome,Disorder,1,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,IKBKG,6.0,gene with protein product,6.0,Ensembl,ENSG00000269335,Genatlas,IKBKG,HGNC,OMIM,5961,300248,Q9Y6K9,Q9Y6K9,Reactome,SwissProt,1.0,Xq28,Disease-causing germline mutation(s) in,Assessed,FIP-3,FIP3,Fip3p
415,1059,Blue rubber bleb nevus,Malformation syndrome,Disorder,1,TEK receptor tyrosine kinase,TEK,5.0,gene with protein product,7.0,Ensembl,ENSG00000120156,Genatlas,TEK,HGNC,IUPHAR,11724,1842,600221,Q02763,OMIM,Reactome,1.0,9p21.2,Disease-causing somatic mutation(s) in,Assessed,CD202b,TIE-2,TIE2
